Data Set      1=Norwich                0= Peterborough ;Tno ;Site ;Hard Standing Index % ;Species ;Species Code ;Age Class ;Age Index 1=Y 2=SM 3=EM 4=M  ;Ht (m) ;dbh (mm) ;dbh (m) ;Age estimate ;Clearance Ht (m) ;Crown Depth (m) ;Pruning Index 5 = pruned within 5yrs  10 pruned between 5 and 10yrs ;Type of Prunning None= 0 CR= 1 Other = 2 Both = 3 ;N ;E ;S ;W ;Total N,S,E,W Radial Crown Spread (m) ;Average Radial Crown spread (m) ;Adjustment diameter ;Total Mean Radial Crown Spread (m) ;Crown Diameter (m) ;Grid Reference ;Superfical Geology From British Geological Survey Geology of Britain Viewer ;Soil Code 1=sand and gravel 2= Clay 3=silt ;Notes ;Ratio Crown diameter/stem diameter ;HR ;Stem diameter Jan 2017 (mm) ;2yr dia gain (mm) ;Annual Girth Increment (mm) ;Predicted crown diamet using combined formulla ;Difference ;% Variation ;Predicted Ratio using  Combine formula ;Predicted Crown Diameter ;Diference ;% variation
0;138;Werrington ;0;Sycamore ;2;SM ;2;4,7;100;0,1;17;1,8;2,9;5;1;1,7;1,8;1,6;1,7;6,8;1,7;0,05;1,75;3,5;TF16991 02693 ;Oxford Clay formation ;2;Lincoln Road ;35; ; ; ; ;3,79;-0,29; ;34,32;3,43;0,07;0,01
0;139;Werrington ;0;Silver Birch ;4;EM ;3;12,6;248;0,248;32;1,3;11,3;10;1;3,4;3,3;3,4;3,6;13,7;3,425;0,124;3,549;7,098;TF16991 02694 ;Oxford Clay formatiom ;2;Lincoln Road ;28,62; ; ; ; ;7,16;-0,06; ;29,68;7,36;-0,26;0,01
0;140;Central Bishops Rd ;85;Sycamore ;2;M ;4;18,1;650;0,65;68;7,5;10,6;10;3;7,5;7,8;7,5;5;27,8;6,95;0,325;7,275;14,55;TL19775 98585 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Bishops Road ;22,38; ; ; ; ;14,26;0,29; ;21,1;13,72;0,83;0,01
0;141;Central Bishops Rd ;40;Sycamore ;2;EM ;3;9;357;0,357;43;3,5;5,5;10;1;5,4;5,1;4,9;4,2;19,6;4,9;0,1785;5,0785;10,157;TL19719 98553 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Bishops Road ;28,45; ; ; ; ;9,38;0,78; ;26,78;9,56;0,6;0,01
0;142;Central Bishops Rd ;0;Oak ;1;SM ;2;6,7;174;0,174;16;1,5;5,2;5;1;2,5;2,5;2,2;2;9,2;2,3;0,087;2,387;4,774;TL19627 98318 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Bishops Road ;27,44; ; ; ; ;5,53;-0,75; ;31,9;5,55;-0,78;0,01
0;143;Central Bishops Rd ;0;Oak ;1;SM ;2;8,9;242;0,242;22;1,2;7,7;5;1;4;3,8;3,3;3,1;14,2;3,55;0,121;3,671;7,342;TL19641 98343 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Bishops Road ;30,34; ; ; ; ;7,03;0,31; ;29,86;7,23;0,12;0,01
0;144;Central Bishops Rd ;0;Oak ;1;SM ;2;8,1;195;0,195;18;1,2;6,9;5;1;4,2;3,2;3,1;3,4;13,9;3,475;0,0975;3,5725;7,145;TL19644 98345 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Bishops Road ;36,64; ; ; ; ;6;1,15; ;31,25;6,09;1,05;0,01
0;145;Rivergate ;2;Sycamore ;2;SM ;2;8,1;169;0,169;28;2;6,1;5;1;3,1;3;3;2,7;11,8;2,95;0,0845;3,0345;6,069;TL19581 98150 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Park edging River Nene ;35,91; ; ; ; ;5,41;0,66; ;32,06;5,42;0,65;0,01
0;146;Rivergate ;0;Sycamore ;2;M ;4;16,5;610;0,61;64;3,5;13;5;1;7,8;7,7;6,8;5,3;27,6;6,9;0,305;7,205;14,41;TL19584 98156 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Park edging River Nene ;23,62; ; ; ; ;13,68;0,73; ;21,7;13,23;1,18;0,01
0;147;Rivergate ;0;Sycamore ;2;EM ;3;15,4;519;0,519;63;4;11,4;10;1;6,3;6,6;5,9;4,9;23,7;5,925;0,2595;6,1845;12,369;TL19580 98163 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Park edging River Nene ;23,83; ; ; ; ;12,27;0,1; ;23,26;12,07;0,3;0,01
0;148;Rivergate ;0;Sycamore ;2;M ;4;13,1;682;0,682;71;3;10,1;10;1;6,9;5,9;8,4;8,3;29,5;7,375;0,341;7,716;15,432;TL19573  98162 ;Alluvium - Clay, Silt, Sand And Gravel  Superficial ;3;Park edging River Nene ;22,63; ; ; ; ;14,69;0,74; ;20,67;14,1;1,33;0,01
0;149;Tanhouse ;10;Silver Birch ;4;M ;4;15,3;449;0,449;58;2;13,3;10;3;4,5;4;4,3;4,1;16,9;4,225;0,2245;4,4495;8,899;TL17288 96408 ;River Terrance Deposits Sand and Gravel ;1; ;19,82; ; ; ; ;11,08;-2,18; ;24,66;11,07;-2,17;0,01
0;150;Tanhouse ;40;Oak ;1;EM ;3;13,9;543;0,543;49;2;11,9;10;3;9;7,6;9,9;8,5;35;8,75;0,2715;9,0215;18,043;TL17285 96218 ;River Terrance Deposits Sand and Gravel ;1;Very Broad Crown ;33,23; ; ; ; ;12,66;5,39; ;22,82;12,39;5,65;0,01
0;151;Weather hows ;0;Oak ;1;EM ;3;14,3;433;0,433;39;2,5;11,8;10;1;6,2;5,4;6,2;6,9;24,7;6,175;0,2165;6,3915;12,783;TL17313 96276 ;River Terrance Deposits Sand and Gravel ;1; ;29,52; ; ; ; ;10,79;1,99; ;25,01;10,83;1,95;0,01
0;152;Weather hows ;1;Silver Birch ;4;EM ;3;11,9;274;0,274;35;2,2;9,7;10;1;4,3;3,6;4,2;4;16,1;4,025;0,137;4,162;8,324;TL17285 96266 ;River Terrance Deposits Sand and Gravel ;1; ;30,38; ; ; ; ;7,71;0,62; ;28,95;7,93;0,39;0,01
0;153;Weather hows ;30;Oak ;1;EM ;3;16,2;479;0,479;44;2,8;13,4;10;1;5,1;7,7;6,3;5;24,1;6,025;0,2395;6,2645;12,529;TL17283 96268 ;River Terrance Deposits Sand and Gravel ;1; ;26,16; ; ; ; ;11,6;0,93; ;24,04;11,51;1,02;0,01
0;154;Botolph Green ;0;Oak ;1;SM ;3;14,2;384;0,384;35;1,8;12,4;5;1;6,4;5,5;6,4;5,8;24,1;6,025;0,192;6,217;12,434;TL17260 97260 ;River Terrance Deposits Sand and Gravel ;1; ;32,38; ; ; ; ;9,89;2,54; ;26,12;10,03;2,4;0,01
0;155;Botolph Green ;0;Oak ;1;EM ;3;15,1;410;0,41;37;1,5;13,6;5;1;5,6;6,9;6,6;4,4;23,5;5,875;0,205;6,08;12,16;TL17296 97296 ;Kellaways Clay Member ;2; ;29,66; ; ; ; ;10,38;1,78; ;25,52;10,46;1,7;0,01
0;156;Botolph Green ;0;Oak ;1;EM ;3;14,1;411;0,411;37;1,6;12,5;5;1;6,6;5;5,4;5,9;22,9;5,725;0,2055;5,9305;11,861;TL17328 97227 ;Kellaways Clay Member ;2; ;28,86; ; ; ; ;10,39;1,47; ;25,5;10,48;1,38;0,01
0;157;Botolph Green ;0;Oak ;1;SM ;2;14,3;377;0,377;34;1,8;12,5;10;1;5,6;5,1;5,7;4,6;21;5,25;0,1885;5,4385;10,877;TL17332 97219 ;Kellaways Clay Member ;2; ;28,85; ; ; ; ;9,76;1,12; ;26,29;9,91;0,97;0,01
0;158;Botolph Green ;0;Oak ;1;SM ;2;11,1;328;0,328;30;1,6;9,5;10;1;5,4;4,5;5;4;18,9;4,725;0,164;4,889;9,778;TL17798 97231 ;Kellaways Clay Member ;2; ;29,81; ; ; ; ;8,81;0,97; ;27,51;9,02;0,76;0,01
0;159;Nene  Park ;0;Oak ;1;M ;4;18,2;1270;1,27;115;2;16,2;10;3;7;8,8;10,6;12;38,4;9,6;0,635;10,235;20,47;TL14338 97637 ;River Terrance Deposits Sand and Gravel ;1; ;16,12; ; ; ; ;19,37;1,1; ;19,37;24,6;-4,13;0,01
0;160;Nene  Park ;0;Oak ;1;SM ;2;12,5;447;0,447;41;3,2;9,3;5;3;6,5;6,8;5,6;5,7;24,6;6,15;0,2235;6,3735;12,747;TL14284 97316 ;River Terrance Deposits Sand and Gravel ;1; ;28,52; ; ; ; ;11,04;1,7; ;24,7;11,04;1,7;0,01
0;161;Nene  Park ;20;Oak ;1;SM ;2;8,3;307;0,307;28;2;6,3;5;1;3,9;3,5;3,8;3,4;14,6;3,65;0,1535;3,8035;7,607;TL14281 97299 ;River Terrance Deposits Sand and Gravel ;1; ;24,78; ; ; ; ;8,39;-0,78; ;28,06;8,61;-1,01;0,01
0;162;Nene  Park ;15;Oak ;1;EM ;3;15,4;452;0,452;41;1;14,4;10;1;5;5,6;5,5;4,4;20,5;5,125;0,226;5,351;10,702;TL14278 97286 ;River Terrance Deposits Sand and Gravel ;1; ;23,68; ; ; ; ;11,13;-0,43; ;24,6;11,12;-0,42;0,01
0;163;Nene  Park ;5;Oak ;1;EM ;3;11,8;420;0,42;38;2;9,8;10;1;5,3;5,6;4,8;4,4;20,1;5,025;0,21;5,235;10,47;TL14279 97270 ;River Terrance Deposits Sand and Gravel ;1; ;24,93; ; ; ; ;10,56;-0,09; ;25,3;10,62;-0,15;0,01
0;164;Nene  Park ;8;Oak ;1;EM ;3;12,4;417;0,417;38;1,4;11;10;1;5,2;6,2;6,3;5,6;23,3;5,825;0,2085;6,0335;12,067;TL14275 97255 ;River Terrance Deposits Sand and Gravel ;1; ;28,94; ; ; ; ;10,5;1,56; ;25,36;10,58;1,49;0,01
0;165;Nene  Park ;30;Oak ;1;EM ;3;11,5;405;0,405;37;3;8,5;10;1;4,9;3,5;5,2;4;17,6;4,4;0,2025;4,6025;9,205;TL14276 97229 ;River Terrance Deposits Sand and Gravel ;1; ;22,73; ; ; ; ;10,28;-1,08; ;25,64;10,38;-1,18;0,01
0;166;Nene  Park ;15;Sycamore ;2;EM ;3;11,7;400;0,4;48;2,9;8,8;10;1;4,8;4,1;4,5;4,3;17,7;4,425;0,2;4,625;9,25;TL14291 97230 ;River Terrance Deposits Sand and Gravel ;1; ;23,13; ; ; ; ;10,19;-0,94; ;25,75;10,3;-1,05;0,01
0;167;Nene  Park ;5;Sycamore ;2;EM ;3;12,1;454;0,454;55;1,2;10,9;5;2;6,3;5,5;6,2;6,3;24,3;6,075;0,227;6,302;12,604;TL14310 97218 ;River Terrance Deposits Sand and Gravel ;1; ;27,76; ; ; ; ;11,17;1,44; ;24,55;11,15;1,46;0,01
0;168;Nene  Park ;0;Oak ;1;SM ;2;5,3;205;0,205;19;1;4,3;0;0;3,2;2,9;2,9;2,9;11,9;2,975;0,1025;3,0775;6,155;TL14324 97241 ;River Terrance Deposits Sand and Gravel ;1; ;30,02; ; ; ; ;6,22;-0,07; ;30,95;6,34;-0,19;0,01
0;169;Nene  Park ;15;Oak ;1;OM ;4;23,3;1675;1,675; ;2,5;20,8;10;3;12,8;15,2;13,6;12;53,6;13,4;0,8375;14,2375;28,475;TL14341 97228 ;River Terrance Deposits Sand and Gravel ;1; ;17;HR ; ; ; ; ; ; ; ; ; ;30,8
0;170;Nene  Park ;0;Oak ;1;SM ;2;10,2;353;0,353;32;2;8,2;10;1;5,2;4,8;4,9;4,7;19,6;4,9;0,1765;5,0765;10,153;TL14341 97226 ;River Terrance Deposits Sand and Gravel ;1; ;28,76; ; ; ; ;9,3;0,85; ;26,88;9,49;0,67;0,01
0;171;Nene  Park ;0;Oak ;1;SM ;2;7,5;155;0,155;14;1,5;6;0;0;3,1;2,9;2,7;2,7;11,4;2,85;0,0775;2,9275;5,855;TL14393 97217              ;River Terrance Deposits Sand and Gravel ;1; ;37,77; ; ; ; ;5,09;0,76; ;32,5;5,04;0,82;0,01
0;172;Nene  Park ;0;Oak ;1;SM ;2;8;236;0,236;21;0,5;7,5;0;0;4,7;5,2;3;4;16,9;4,225;0,118;4,343;8,686;TL14398 97218             ;River Terrance Deposits Sand and Gravel ;1; ;36,81; ; ; ; ;6,9;1,79; ;30,03;7,09;1,6;0,01
0;173;Nene  Park ;0;Oak ;1;SM ;2;8,2;250;0,25;23;0,5;7,7;0;0;3,2;4,2;3,8;3,7;14,9;3,725;0,125;3,85;7,7;TL14414  97233                    7218             ;River Terrance Deposits Sand and Gravel ;1; ;30,8; ; ; ; ;7,2;0,5; ;29,63;7,41;0,29;0,01
0;174;Nene  Park ;0;Sycamore ;2;EM ;3;12,7;400;0,4;48;2;10,7;5;1;4,6;4,3;4,9;5,3;19,1;4,775;0,2;4,975;9,95;TL14424  97226                    7218             ;River Terrance Deposits Sand and Gravel ;1; ;24,88; ; ; ; ;10,19;-0,24; ;25,75;10,3;-0,35;0,01
0;175;Nene  Park ;0;Sycamore ;2;EM ;3;12,6;370;0,37;45;2;10,6;10;1;4,2;4,8;4,7;4,3;18;4,5;0,185;4,685;9,37;TL14431  97229                    7218             ;River Terrance Deposits Sand and Gravel ;1; ;25,32; ; ; ; ;9,63;-0,26; ;26,46;9,79;-0,42;0,01
0;176;Nene  Park ;0;Oak ;1;M ;4;18;1127;1,127;102;4;14;10;3;9,5;9,5;8;10,6;37,6;9,4;0,5635;9,9635;19,927;TL14355  97278                    7218             ;River Terrance Deposits Sand and Gravel ;1; ;17,68; ; ; ; ;18,82;1,11; ;18,53;20,88;-0,96;0,01
0;177;Nene  Park ;30;Sycamore ;2;SM ;2;10,2;330;0,33;55;3,5;6,7;10;1;2,9;4,1;4;3,3;14,3;3,575;0,165;3,74;7,48;TL14343 97836 ;River Terrance Deposits Sand and Gravel ;1; ;22,67; ; ; ; ;8,85;-1,37; ;27,46;9,06;-1,58;0,01
0;178;Nene  Park ;30;Sycamore ;2;SM ;2;10,1;345;0,345;58;2,8;7,3;10;1;4,8;4,2;3,7;3,6;16,3;4,075;0,1725;4,2475;8,495;TL14340 97839 ;River Terrance Deposits Sand and Gravel ;1; ;24,62; ; ; ; ;9,14;-0,65; ;27,08;9,34;-0,85;0,01
0;179;Nene  Park ;0;Sycamore ;2;SM ;2;11,6;356;0,356;59;4;7,6;10;1;5,5;4,8;4,7;4,6;19,6;4,9;0,178;5,078;10,156;TL14396 97795 ;River Terrance Deposits Sand and Gravel ;1; ;28,53; ; ; ; ;9,36;0,8; ;26,8;9,54;0,61;0,01
0;180;Nene  Park ;0;Sycamore ;2;EM ;3;16,7;605;0,605;73;4;12,7;10;1;6,2;7;7;3,7;23,9;5,975;0,3025;6,2775;12,555;TL14406 97801 ;River Terrance Deposits Sand and Gravel ;1; ;20,75; ; ; ; ;13,61;-1,05; ;21,77;13,17;-0,62;0,01
0;181;Nene  Park ;0;Sycamore ;2;EM ;3;16;467;0,467;56;4;12;10;1;5,8;5,4;6,3;5,1;22,6;5,65;0,2335;5,8835;11,767;TL14403 97813 ;River Terrance Deposits Sand and Gravel ;1; ;25,2; ; ; ; ;11,39;0,37; ;24,28;11,34;0,43;0,01
0;182;Nene  Park ;5;Norway maple ;4;EM ;3;13,8;467;0,467;49;4;9,8;10;1;5,3;5,5;4,9;6,1;21,8;5,45;0,2335;5,6835;11,367;TL14471 97853 ;River Terrance Deposits Sand and Gravel ;1; ;24,34; ; ; ; ;11,39;-0,03; ;24,28;11,34;0,03;0,01
0;183;Nene  Park ;15;Sycamore ;2;SM ;2;8,1;270;0,27;45;2;6,1;10;1;4,3;4;4,6;3,7;16,6;4,15;0,135;4,285;8,57;TL14399 97861 ;River Terrance Deposits Sand and Gravel ;1; ;31,74; ; ; ; ;7,62;0,95; ;29,06;7,85;0,72;0,01
0;184;Nene  Park ;0;Sycamore ;2;SM ;2;8,3;281;0,281;47;3;5,3;5;1;3,1;2,5;3,2;3,2;12;3;0,1405;3,1405;6,281;TL14364 97790 ;River Terrance Deposits Sand and Gravel ;1; ;22,35; ; ; ; ;7,85;-1,57; ;28,76;8,08;-1,8;0,01
0;185;Nene  Park ;0;Sycamore ;2;SM ;2;10,3;282;0,282;47;2,5;7,8;5;1;3,5;4,2;4,7;4,6;17;4,25;0,141;4,391;8,782;TL14364 97784 ;River Terrance Deposits Sand and Gravel ;1; ;31,14; ; ; ; ;7,87;0,91; ;28,73;8,1;0,68;0,01
0;186;Nene  Park ;7;Sycamore ;2;SM ;2;10,9;312;0,312;52;2,5;8,4;10;1;4,6;3,9;4,4;4,4;17,3;4,325;0,156;4,481;8,962;TL14354 97786 ;River Terrance Deposits Sand and Gravel ;1; ;28,72; ; ; ; ;8,49;0,48; ;27,93;8,71;0,25;0,01
0;187;Nene  Park ;5;Sycamore ;2;EM ;3;15,1;531;0,531;64;4;11,1;10;1;5,9;6;6,4;5,4;23,7;5,925;0,2655;6,1905;12,381;TL14340 97779 ;River Terrance Deposits Sand and Gravel ;1; ;23,32; ; ; ; ;12,47;-0,08; ;23,03;12,23;0,15;0,01
0;188;Nene  Park ;5;Sycamore ;2;EM ;3;12,7;429;0,429;52;5;7,7;10;1;4,4;5;4,7;4,1;18,2;4,55;0,2145;4,7645;9,529;TL14336 97775 ;River Terrance Deposits Sand and Gravel ;1; ;22,21; ; ; ; ;10,72;-1,19; ;25,1;10,77;-1,24;0,01
0;189;Nene  Park ;10;Sycamore ;2;SM ;2;11;355;0,355;59;4;7;10;1;5,8;4,2;4,2;4,2;18,4;4,6;0,1775;4,7775;9,555;TL14328 97775 ;River Terrance Deposits Sand and Gravel ;1; ;26,92; ; ; ; ;9,34;0,22; ;26,83;9,52;0,03;0,01
0;190;Nene  Park ;1;Sycamore ;2;SM ;2;14,1;389;0,389;65;3;11,1;10;1;5,3;4,9;4,7;5,1;20;5;0,1945;5,1945;10,389;TL14324 97769 ;River Terrance Deposits Sand and Gravel ;1; ;26,71; ; ; ; ;9,99;0,4; ;26,01;10,12;0,27;0,01
1;1;Northfields, Norwich ;1;Silver Birch ;3;SM ;2;17,1;230;0,23;29;1,2;15,9;0;0;4,6;3,5;3,6;2,5;14,2;3,55;0,12;3,67;7,33;TG 43507 07741 ;Sheringham Cliffs formation sand and gravel ;1;Full hard standing, brick tub Northfields ;31,87; ; ; ; ;6,77;0,56; ;30,2;6,95;0,38;0,01
1;2;Northfields, Norwich ;1;Silver Birch ;3;SM ;2;9,9;195;0,195;25;1,3;8,6;0;0;2,6;2,8;2,4;2,7;10,5;2,63;0,1;2,72;5,45;TG 20440 07737 ;Sheringham Cliffs formation sand and gravel ;1;Full hard standing, brick tub Northfields ;27,92; ; ; ; ;6;-0,55; ;31,25;6,09;-0,65;0,01
1;3;The Avenues Norwich ;0,4;Norway maple ;4;EM ;3;15,9;500;0,5;52;3,7;12,2;10;2;4,8;5,1;6;4,3;20,2;5,05;0,25;5,3;10,6;TG 20182 08088 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road ;21,2; ; ; ; ;11,96;-1,36; ;23,62;11,81;-1,21;0,01
1;4;The Avenues Norwich ;0,3;Norway maple ;4;M ;4;18,3;700;0,7;73;2,9;15,4;5;2;6;6,8;7;5,8;25,6;6,4;0,35;6,75;13,5;TG20808 08084 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road ;19,29; ; ; ; ;14,93;-1,43; ;20,45;14,31;-0,81;0,01
1;5;The Avenues Norwich ;0,3;Norway maple ;4;M ;4;20,6;790;0,79; ;4,7;15,9;10;2;7,4;10,6;8;7,5;33,5;8,38;0,39;8,77;17,53;TG20863 08079 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road restrict on one side by building ;22,19;HR ; ; ; ; ; ; ; ; ; ;23,63
1;6;The Avenues Norwich ;0,25;Norway maple ;4;SM ;2;12,3;400;0,4;42;3;9,3;10;2;5,8;5,7;6,1;4,5;22,1;5,53;0,2;5,73;11,45;TG20861 08092 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road ;28,63; ; ; ; ;10,19;1,26; ;25,75;10,3;1,15;0,01
1;7;The Avenues Norwich ;0,25;Norway maple ;4;EM ;3;14,3;570;0,57;60;3,8;10,5;10;2;5,4;6,4;7,4;5,1;24,3;6,08;0,29;6,36;12,72;TG20889 08096 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road ;22,32; ; ; ; ;13,08;-0,36; ;22,34;12,74;-0,02;0,01
1;8;The Avenues Norwich ;0,5;Norway maple ;4;EM ;3;13,4;620;0,62;65;3,7;9,7;10;2;6,3;6,8;7;5,9;26;6,5;0,31;6,81;13,62;TG20899 08083 ;Sheringham Cliffs formation sand and gravel ;1;Adjacent to path and busy road ;21,97; ; ; ; ;13,83;-0,21; ;21,54;13,36;0,26;0,01
1;9;Eaton Park Norwich ;0,2;Silver Birch ;3;EM ;` ;14,3;370;0,37;47;3,2;11,1;10;2;3,4;2,8;3,7;3,1;13;3,25;0,19;3,44;6,87;TG 20635 07260 ;Leet Hill Sand And Gravel Member ;2;Adjacent to path in park, 6 m from south park avenue ;18,57; ; ; ; ;9,63;-2,76; ;26,46;9,79;-2,92;0,01
1;10;Eaton Park Norwich ;0,2;Silver Birch ;3;EM ;3;14,8;400;0,4;51;1,5;13,3;10;2;4,8;4,5;4,6;4,2;18,1;4,53;0,2;4,73;9,45;TG 20655 07277 ;Leet Hill Sand And Gravel Member ;2;Adjacent to path in park, 6 m from south park avenue ;23,63; ; ; ; ;10,19;-0,74; ;25,75;10,3;-0,85;0,01
1;11;Eaton Park Norwich ;0,2;Silver Birch ;3;SM ;2;10,5;230;0,23;29;1,7;8,8;10;2;2,8;4,2;4,3;3,2;14,5;3,63;0,12;3,74;7,48;TG 20672 07296 ;Leet Hill Sand And Gravel Member ;2;Adjacent to path in park, 6 m from south park avenue ;32,52; ; ; ; ;6,77;0,71; ;30,2;6,95;0,53;0,01
1;12;Eaton Park Norwich ;0;Silver Birch ;3;EM ;3;18,9;460;0,46;59;1,7;17,2;0;0;4,9;4;6;5,5;20,4;5,1;0,23;5,33;10,66;TG 20599 07241 ;Leet Hill Sand And Gravel Member ;2;Adjacent to moderately used dirt track along the edge of eaton park, 7 m from south park avenue ;23,17; ; ; ; ;11,27;-0,61; ;24,43;11,24;-0,58;0,01
1;13;Eaton Park Norwich ;0;Silver Birch ;3;SM ;2;15,3;300;0,3;38;1,4;13,9;0;0;4,3;5;3,8;3;16,1;4,03;0,15;4,18;8,35;TG 20501 07253 ;Leet Hill Sand And Gravel Member ;2;Adjacent to moderately used dirt track along the edge of eaton park, 7 m from south park avenue ;27,83; ; ; ; ;8,24;0,11; ;28,24;8,47;-0,12;0,01
1;14;Eaton Park Norwich ;0;Silver Birch ;3;SM ;2;13,8;290;0,29;37;1,2;12,6;0;0;4;4,2;4,1;2,7;15;3,75;0,15;3,9;7,79;TG 20480 07255 ;Leet Hill Sand And Gravel Member ;2;Adjacent to moderately used dirt track along the edge of eaton park, 7 m from south park avenue ;26,86; ; ; ; ;8,04;-0,25; ;28,51;8,27;-0,48;0,01
1;15;Eaton Park Norwich ;0;Silver Birch ;3;M ;4;16,8;580;0,58; ;1,5;15,3;0;0;4,4;5,1;6,2;4,3;20;5;0,29;5,29;10,58;TG 20453 07255 ;Leet Hill Sand And Gravel Member ;2;"Adjacent to moderately used dirt track along the edge of eaton park, 7 m from south park avenue  Vary Lagre spreading crown weeping form ""Tristis"" ";18,24;HR ; ; ; ; ; ; ; ; ; ;26
1;16;Eaton Park Norwich ;0;Silver Birch ;3;SM ;2;12,5;230;0,23; ;1,4;11,1;0;0;2,7;2,6;3,1;2,9;11,3;2,83;0,12;2,94;5,88;TG 20565 07258 ;Leet Hill Sand And Gravel Member ;2;Adjacent to moderately used dirt track along the edge of eaton park, 7 m from south park avenue Though to be tristis ;25,57;HR ; ; ; ; ; ; ; ; ; ;23,44
1;17;Southpark Avenue, Norwich ;0,3;Silver Birch ;3;SM ;2;11,3;190;0,19;24;3;8,3;5;1;1,7;2;2,1;2,3;8,1;2,03;0,1;2,12;4,24;TG 20507 07237 ;Leet Hill Sand And Gravel Member - Sand And Gravel  ;2;Adjacent to path and road ;22,32; ; ; ; ;5,89;-1,65; ;31,41;5,97;-1,73;0,01
1;18;Southpark Avenue, Norwich ;0,2;Silver Birch ;3;SM ;2;11,9;210;0,21;27;3,5;8,4;5;1;3,2;3;2,2;2,2;10,6;2,65;0,11;2,76;5,51;TG 20467 07238 ;Leet Hill Sand And Gravel Member - Sand And Gravel  ;2;Adjacent to path and road ;26,24; ; ; ; ;6,33;-0,82; ;30,8;6,47;-0,96;0,01
1;19;Southpark Avenue, Norwich ;0;Silver Birch ;3;Y ;1;0;75;0,075;10;1,5;-1,5;5;1;0,9;1,1;1,6;1,2;4,8;1,2;0,04;1,24;2,48;TG 20464 07239 ;Leet Hill Sand And Gravel Member - Sand And Gravel  ;2;Adjacent to path and road ;33; ; ; ; ;3,19;-0,71; ;35,18;2,64;-0,16;0,01
1;20;Southpark Avenue, Norwich ;0,4;Silver Birch ;3;SM ;2;12,8;200;0,2;26;3,8;9;5;1;2,7;2,6;2,8;2,4;10,5;2,63;0,1;2,73;5,45;TG 20501 07253 ;Leet Hill Sand And Gravel Member - Sand And Gravel  ;2;Adjacent to path and road ;27,25; ; ; ; ;6,11;-0,66; ;31,1;6,22;-0,77;0,01
1;21;Southpark Avenue, Norwich ;0,3;Silver Birch ;3;Y ;1;6,5;95;0,095;12;1,5;5;5;1;1,8;2;2;1,7;7,5;1,88;0,05;1,92;3,85;TG 20424 07239 ;Leet Hill Sand And Gravel Member - Sand And Gravel  ;2;Adjacent to path and road ;40,47; ; ; ; ;3,67;0,17; ;34,49;3,28;0,57;0,01
1;22;Hall Road, Norwich ;0,25;Norway maple ;4;SM ;2;7,7;190;0,19; ;2,2;5,5;0;0;2,1;2,2;2,3;2,6;9,2;2,3;0,1;2,4;4,79;TG 22699 06128 ;Alluvium Clay silit sand and gravel ;3;Adjacent to path and road Upright form ;25,21;HR ; ; ; ; ; ; ; ; ; ;21,08
1;23;Hall Road, Norwich ;0,25;Norway maple ;4;SM ;2;8,9;210;0,21;22;2;6,9;0;0;2,5;2,7;2,4;2,9;10,5;2,63;0,11;2,73;5,46;TG 22702 06137 ;Alluvium Clay silit sand and gravel ;3;Upright Form ;26; ; ; ; ;6,33;-0,87; ;30,8;6,47;-1,01;0,01
1;24;Hall Road, Norwich ;0,5;Silver Birch ;3;M ;4;15,7;410;0,41;53;3,5;12,2;10;1;4,8;5,2;4,3;4,1;18,4;4,6;0,21;4,81;9,61;TG 22639 06000 ;Alluvium Clay silit sand and gravel ;3;Adjacent to path and road on a busy corner ;23,44; ; ; ; ;10,38;-0,77; ;25,52;10,46;-0,85;0,01
1;25;Hall Road, Norwich ;0,6;Silver Birch ;3;EM ;3;13,3;250;0,25;32;2,5;10,8;10;1;3,6;3,4;2;2;11;2,75;0,13;2,88;5,75;TG 22638 05996 ;Alluvium Clay silit sand and gravel ;3;Adjacent to path and road on a busy corner ;23; ; ; ; ;7,2;-1,45; ;29,63;7,41;-1,66;0,01
